tweet,product,emotion
mention quotgoogle launched checkins a month agoquot check ins are ok but check outs are the future sxsw bizzy,Google,Positive emotion
mention quotgoogle launched checkins a month agoquot check ins are ok but check outs are the future sxsw bizzy via mention,,No emotion toward brand or product
mention quotgoogle before you tweetquot is the new quotthink before you speakquot  mark belinsky tweets panel at sxsw,Google,Positive emotion
attending quotleft brain search  google right brain search  xquot  bettersearch   talking about the future of search engines at sxsw,,No emotion toward brand or product
hp opens quotmobile parkquot  amp content incubator at sxsw  link   apple  constructs  quotpopupquot store  link,,No emotion toward brand or product
kawasaki quotnot cs lewis level reasoning but apples continued existence is evidence for the existence of godquot bawling sxsw,Apple,Positive emotion
kawasaki quotpagemaker saved applequot oh those were the days sxsw jwtatl enchantment,,No emotion toward brand or product
kawasaki quotpagemaker saved applequot oh those were the days sxsw jwtatl enchantment  via mention,Apple,Positive emotion
spark for android is up for a teamandroid award at sxsw read about it here link,,Positive emotion
unboxing apple sxsw  mention apple store sxsw link,,No emotion toward brand or product
sxsw and apple ipad s are great but thoughts are w japan and apac regions dealing w earthquake amp tsunami trauma sxswi,iPad,Positive emotion
at sxsw apple schools the marketing experts  sxsw  cnet blogs link,,No emotion toward brand or product
at sxsw apple schools the marketing experts  link,Apple,Positive emotion
at sxsw apple schools the marketing experts link,,No emotion toward brand or product
temporary apple store is def not a tent its a powerhouse gym sxsw  link,Apple,Positive emotion
temporary apple store on th and congress for sxsw along with  very happy hipsters,Apple,Positive emotion
mention apple wins sxsw link opening a temporary store in downtown austin to support ipad launch  that is good,Apple,Positive emotion
ipad and austin are trending today have fun at sxsw all you nerdy nerds,iPad,Positive emotion
headed to austin for sxsw check out my map for newbies link mention mention  mention mention enjoy,,No emotion toward brand or product
funny how austin is trending but not sxsw only a matter of minutes at this point at least according to twitter for iphone,,No emotion toward brand or product
christian ipad iphone devs i want to talk to u at sxsw or after maybe we can wk together on cool app mention me,iPad or iPhone App,Positive emotion
sxsw ux ipad uxdes remember to ultimately be aware of the audience your app is targeted towards an unexpected experience can be good,,No emotion toward brand or product
the apple ipad  has taken sxsw and austin by storm link  mention excited to a be a part mobile,iPad,Positive emotion
i can haz ipad ifrom sxsw gr link,iPad,Positive emotion
stacks of ipads waiting to be bought at sxsw i got mine no hassle at all apple handled this perfectly link,iPad,Positive emotion
googles mobile future and the elusive power of here  link via mention eurorscg sxsw sxswi,,No emotion toward brand or product
for those notatsxsw or at sxsw heres link free to download and meet nearby peps,,No emotion toward brand or product
does your smallbiz need reviews to play on google placeswe got an app for thatlink  seo sxsw,,Positive emotion
does your smallbiz need reviews to play on google placeswe got an app for thatlink seo sxsw,,No emotion toward brand or product
samsung sony follow apple hp lead mention link austin atx sxsw,,No emotion toward brand or product
samsung sony follow apple hp lead mention link austin atx sxsw via mention rg,,No emotion toward brand or product
take that sxsw  rt mention major south korean director gets  to make a movie entirely with his iphone link,iPhone,Positive emotion
beautiful sxsw mention apple store sxsw pic link,Apple,Positive emotion
q was at sxsw sxswi for prep amazing pre push locally focus on location based google owns  of the regions billboards prchat,,No emotion toward brand or product
any other sxsw accounts i need to follow or apps to download for iphone,,No emotion toward brand or product
headed to sxsw and want to sharegather contact info link can turn your iphone into a business card broadcaster,,No emotion toward brand or product
headed to sxsw and want to sharegather contact info link can turn your iphone into a link,,No emotion toward brand or product
btw  the sxsw apple store is sold out of all g models vzw amp atampt,,No emotion toward brand or product
must have sxsw app rt mention lovely review from forbes for our sxsw ipad app holler gram  link,iPad or iPhone App,Positive emotion
temporary sxsw apple store apple being sneaky as usual  link,Apple,Positive emotion
anyone at sxsw been by the popup apple store in austin thats gotta be a hopping place today,,No emotion toward brand or product
mention sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana  cool app,iPad or iPhone App,Positive emotion
apple won sxsw from day one seeing a ton of ipad,iPad,Positive emotion
fastball sxsw giving away two new ipad wifi g black apple cover tweet mention fo more info sxswi attsxsw  tonight mention bolt house,,No emotion toward brand or product
anyone at sxsw had a chance to check out the popup apple store wondering if it is worth the trek from the convention center,,No emotion toward brand or product
mention sxsw ipad store sold out of everything except gig wifi only white mention did you manage to get yours,iPad,Positive emotion
mention sxsw ipad store sold out of everything except gig wifi only white also known as the white jeans configuration,iPad,Positive emotion
offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw sucks to not be here sxsw,iPad,Positive emotion
mention  sxsw is an austin conference do a google search  they have interactive  music  film,,No emotion toward brand or product
anyone at sxsw know if apple will be or is selling ipad  there,,No emotion toward brand or product
anyone at sxsw know if the apple store has had a new shipment of ipads yet,,No emotion toward brand or product
marc ecko sxsw launches iphone app to autodial political change link edreform edtech eduvc fightthepaddle,,No emotion toward brand or product
poursite sxsw learning about the lifechanging impact of the ipad on real peoples actual lives  bravo,iPad,Positive emotion
mention  sxsw lonelyplanet austin guide for iphone is free for a limited time link lp travel,,Positive emotion
more free sxsw mp downloads this time from itunes link,,No emotion toward brand or product
anyone at sxsw or heading to aclu event seen owt to do with google circles then,,No emotion toward brand or product
mention  sxsw prompt for memory go to google map and describe a childhood walk,,No emotion toward brand or product
the apple sxsw store still has ipad s and short lines,iPad,Positive emotion
essential sxsw tools link,,No emotion toward brand or product
just left sxsw tradeshow demo of mention at the google theatre ok i get it i see why all the presenters here are using it,Other Google product or service,Positive emotion
following sxsw tweets on google realtime four platforms on tweet deck and listening to panel realizing im spoken to no one here today,,No emotion toward brand or product
anyone at sxsw want an ipad  im in line and will pick one up for someone willing to pay me  for me to grab  for you,,No emotion toward brand or product
anyone at sxsw want to make a quick hundred dollars new ipad from ad hoc apple store here gets hundred plus cost,iPad,Positive emotion
solving a sxswinduced iphoneintoilet crisis at apple store with mention not my crisis for once,,No emotion toward brand or product
monday at sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis how mondays should be,Google,Positive emotion
attending sxsw austin guide by mention is now free to download on itunes  link lp,,No emotion toward brand or product
seriously sxsw did you do any testing on the mobile apps constant ipad crashes causing lost schedules and no sync for wp,iPad or iPhone App,Negative emotion
ready for sxsw here are some iphone apps  make ur blogging easier  link sxsw sxswi,iPad or iPhone App,Positive emotion
ipad and sxswa conflagration of doofusness  link,iPad,Negative emotion
attention sxswers  link  rumored popup temporary apple store for all your sxsw ipad  launch needs,Apple,Positive emotion
i went to sxswi and all i won was this lousy ipad sxsw   link,iPad,Positive emotion
hey sxsw sxswi folks if you want to learn about security come over to bsidesaustin link,,No emotion toward brand or product
attending sxswi work in iphone  ipad game development looking to hire an austinbased ios developer im your man lets talk sxsw,,No emotion toward brand or product
this is a winning picture android google sxsw link,Android,Positive emotion
gsdampm  google  rt mention whats the best party to hit tonight sxsw mention mention,,No emotion toward brand or product
gsdampm  google industry party sxsw mention great to meet you  link,,No emotion toward brand or product
you spent  to come to sxsw youve already used ipad  the wait is a couple city blocks why ipad sxsw link,iPad,Negative emotion
sxsw day   marissa mayer google will connect the digital amp physical worlds through mobile link,,No emotion toward brand or product
behind on s of emails give them all  line iphone composed replies sxsw protip,iPhone,Positive emotion
its like pm at night and there is a line around the block at the popup apple stores selling ipads sxsw,iPad,Positive emotion
mention  free songs from sxsw this year alone link,,No emotion toward brand or product
more than  million mobile users for google maps for mobile sxsw,,No emotion toward brand or product
currently  people in line at the quotpop up apple storequot sxsw,,No emotion toward brand or product
only ipad  available at sxsw is the gb wifionly model at  plus the optional not leather smart cover at ,,No emotion toward brand or product
 we love  entertain youplease dont be grateful  link  edchat musedchat sxsw sxswi classical newtwitter,,No emotion toward brand or product
less than  hours until we announce the details on the ipad  giveaway sxsw sxswi,,No emotion toward brand or product
im up to  ipad s seen in the wild both people say it is fast but the still pics are terrible sxsw,iPad,Negative emotion
the ipad  queue at sxsw of course,,No emotion toward brand or product
the ipad  takes over sxsw video by mention link,iPad,Positive emotion
many ipad s snapping away at the keynote slides sxsw,iPad,Positive emotion
apple has m users credit cards syncd with itunes for one click purchase  winning sxsw,,No emotion toward brand or product
having my nd cocktail quottexas snowflakequot   mention google it at the cnngrill sxsw,,No emotion toward brand or product
new post  iphone apps well be using at south by southwest interactive link sxsw sxswi,iPad or iPhone App,Positive emotion
new post  iphone apps well be using at south by southwest interactive sxsw sxswi link,,No emotion toward brand or product
sweet new d google maps demo going on in ballroom d sxsw,Other Google product or service,Positive emotion
more than  million miles per day are driving with google maps navigation sxsw,Other Google product or service,Positive emotion
rt  its  pm and the ipad line at the apple store is longer and wider  about  people only one more hour  sxsw,,No emotion toward brand or product
u  smart  packing an extra  rt mention on my way to sunny austin for sxsw extra iphone in stow just in case mention mention,,No emotion toward brand or product
wonder if sqwill attempt to block gowalla crosscheckins the way facebook blocked googles contacts connections  sxsw lbswars,,No emotion toward brand or product
sxsw day  at the apple store and theres still a lineand growing link,Apple,Positive emotion
check out  steps to bulletproof ux strategy at sxswlink sxsw rhjrux  link,,No emotion toward brand or product
wandering th street with the girls stopped for ceviche mojitos apple juice amp ice cream sxsw,,No emotion toward brand or product
if youre a band at sxsw and want to share a track with your audience from stage use frostwire for android if theres wifi available,Android App,Positive emotion
weve got a busy week ahead our new book on google apps will be available on amazon amp were attending sxsw,,No emotion toward brand or product
i believe a few went to aussies at sxsw rt mention ipad  sold out  went to new buyers report  link,,No emotion toward brand or product
mention a google spreadsheet of over  parties at sxsw this year oo link mention plan on going to sxsw party on,,No emotion toward brand or product
there was a guy in line for apples popup store on sixth street in austin quotim that guyquot he told me sxsw,,No emotion toward brand or product
if u have a iphone you dont need a caruse zimride etc to share rides sxsw shareable,iPad or iPhone App,Positive emotion
ive seen a lot of tablets here every single one of them is an ipad sxsw,,No emotion toward brand or product
receiving a lot of mention messages telling me im sexy in response to my post looking to meet fellow christian iphone devs at sxsw,,No emotion toward brand or product
picked up a mophie battery case  my iphone in prep for sxsw not lugging around a laptop amp only using my phone was a huge win last year,iPhone,Positive emotion
now thats a news p rtmention google to launch major new social network called circles possibly today link sxsw,,No emotion toward brand or product
just took a piss at the trade show ipad in one hand iphone in the other pissing i am kiiiiiilling it right now sxsw,,No emotion toward brand or product
not to be a rumor monger but this was a good read  google circles preview mention sxsw link by mention via mention socbiz fb,Other Google product or service,Positive emotion
hobo with a shotgun iphone game link sxsw,,No emotion toward brand or product
hobo with a shotgun video game coming to ipadiphone users yes please link sxsw,iPad or iPhone App,Positive emotion
build out a store in less than  hours and have one of the biggest launches in this companys history  we got this  apple sxsw ipad,Apple,Positive emotion
just took a survey on iphone while in starbucks line got a free starbucks gift card instant research instant gratification sxsw gsdm,,No emotion toward brand or product
apple has a temporary retail store in austin for the ipad  release today opens at pm sxsw sxswi ipad,,No emotion toward brand or product
just read about groupme at sxswsounds like an incredible app is it available for android phones yet,iPad or iPhone App,Positive emotion
wondering about circles gt google to reveal a new social network at sxsw link,,No emotion toward brand or product
google is about search but local marissa mayer sxsw,,No emotion toward brand or product
wondering about street closures during sxsw we made a google map to show you link sxsw austin,,No emotion toward brand or product
is google about to have another go at social with quotgoogle circlesquot sxsw google,,No emotion toward brand or product
questions about whats inside the ipad  fire them my way sxsw,,No emotion toward brand or product
paraormal activity sanctuary iphone game sketching your ar experience interactivity through quotmagic lensequot eduar sxsw,,No emotion toward brand or product
apple iie ad in the  si swimsuit issue at a garage sale sxsw link,,No emotion toward brand or product
flipboard adds instagram photos and social search apps link apple socialsearch sxsw,,No emotion toward brand or product
spent the aftrnoon on a frozen lake photographing my brother scott amp the mention team catch them at sxsw ths weeknd  link,,No emotion toward brand or product
if iphone alarms botch the timechange how many sxswers freak late to flights missed panels behind on bloody marys,iPhone,Negative emotion
shouts to all the ladies holding up their ipad s at free sxsw shows to take photos while sipping free beer cc mention,iPad,Positive emotion
dj hoodie allen with all due respect you should probably make your way back to google sxsw,,No emotion toward brand or product
i meant i also wish i  at sxsw dyac stupid iphone,iPhone,Negative emotion
just what america needs rt mention google to launch major new social network called circles possibly today link sxsw,,I can't tell
audioboo american dream or bust link ipad sxsw bum begger us socialart documentally,,No emotion toward brand or product
skifta is an appbased media shifting service that turns your android phone into a   sxsw mashable sxswi link,,No emotion toward brand or product
rumors of an apple store opening for sxsw at th amp congress all signs point to yes link,Apple,Positive emotion
what does an apple security guy after he locks up the store sxsw  link,,No emotion toward brand or product
what does an apple security guy after he locks up the store sxsw  the realtime sxsw s link curated by mention,,No emotion toward brand or product
how i got an ipad  during sxsw  link cc mention,,No emotion toward brand or product
picked up an ipad  at the sxsw pop up  apple store only  minute wait,iPad,Positive emotion
brilliant and enlightening game mechanics presentation by mention from google sxsw,Google,Positive emotion
gsdampm and googlesitting in a tree link sxsw gsdm,,No emotion toward brand or product
mention  and heres a pic of you winning your ipad unsix sxsw cc mention mention  link cont link,,No emotion toward brand or product
my iphone and i are both very thirsty sxsw mention chevy volt lounge w  others link,,No emotion toward brand or product
my iphone and i are both very thirsty sxsw mention chevy volt lounge w  others link link,,No emotion toward brand or product
i came in and left sxsw with my iphone playing the same song chosen at random skreams listening to the records on my wall appropriate,,No emotion toward brand or product
marketing and sales genius link apple sxsw,Apple,Positive emotion
arduino  android  flaming skulls  link refrigerator speaks  salon k pm mention mention sxsw smartthings,,No emotion toward brand or product
reminder android and chrome tts talk mention  pm today  link  sxsw,,No emotion toward brand or product
ipad  vs android vs the world  panel at sxsw today pm by mention link,,No emotion toward brand or product
backupify announces cloudsight search the first searchable archive solution for social media and google apps sxsw sxswi link,,No emotion toward brand or product
google is announcing a social network quotcirclesquot via sxsw tweets interesting myopia will cause buzz jokes but this is interesting,,No emotion toward brand or product
do i need any more for sxsw ipad iphone laptop dictaphone vidcamera wow love to  meet the real cerebellum charged people,iPhone,Positive emotion
did u see anything on googles circles at the sxsw mention mention,,No emotion toward brand or product
the sxsw app for my iphone is ridiculous its my personal planner for the next  days,iPad or iPhone App,Positive emotion
our sxsw app is now on android d huge props to mention mention mention amp mention get it now link,,No emotion toward brand or product
found the app kyping my iphones geolocation amp not releasing when in background need a patch mention batterykiller sxsw,iPad or iPhone App,Negative emotion
the sxsw app on the iphone is live rsvp for events from your phone amp check out sundayswaggereventbritecom  scoremore,iPad or iPhone App,Positive emotion
my iphone app screen for sxsw what am i missing   link,,No emotion toward brand or product
love this app so awesome rt mention must see android app at sxsw quotbizzyquot link,Android App,Positive emotion
the sxsw apple quotpopupquot store was nuts was still packed at  link,Apple,No emotion toward brand or product
say what apple sxsw popup store in austin link mention mention,,No emotion toward brand or product
breaking apple announces partnership wporn industry for new ipad video chat app called quotofacetimequot sxsw,,No emotion toward brand or product
of course apple built a temp store in austin its texas they understand the concept of corralling cattle sxsw pickmeupanipad,Apple,Negative emotion
love that apple didnt let something like not having a retail store near sxsw keep them away by opening a popup store link,Apple,Positive emotion
surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new  link cnet,Apple,Positive emotion
surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new ipads link cnet,iPad,Positive emotion
surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new ipads http link,,No emotion toward brand or product
surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new ipads link,Apple,Positive emotion
technews apple heads to sxsw sets up temporary store in austin link technews apple ipad rancewilemon sxsw tech,,No emotion toward brand or product
mention apple is a great example of a retail store layed out for the future  no registers no checkout line  sxsw,Apple,Positive emotion
mention apple is opening up a temporary store in downtown austin for sxsw and the ipad  launch link gswsxsw,Apple,Positive emotion
mention apple is opening up a temporary store in downtown austin for sxsw and the ipad  launchquot oh yay more traffic,Apple,Negative emotion
technews apple opening popup store in austin for sxsw link technews americanstatesman apple appleapple sxsw tech,,No emotion toward brand or product
technews apple opening popup store in austin for sxsw geekfest apple link technews apple brianlam ipad sxsw tech,,No emotion toward brand or product
the sxsw apple popup store is open at noon has a fresh shipment of ipad s and im pretty sure im going to get one fingers crossed,iPad,Positive emotion
technews apple saves sxsw set to open popup store link technews apple sxsw tech,Apple,Positive emotion
at sxsw apple schools the marketing experts  link,,No emotion toward brand or product
at sxsw apple schools the marketing experts link,Apple,Positive emotion
at sxsw apple schools the marketing experts link via mention,Apple,Positive emotion
at sxsw apple schools the marketing experts link via mention ltlt true love or loathe them no one does marketing like them,Apple,Positive emotion
at sxsw apple schools the marketing experts  cnet  link,Apple,Positive emotion
at sxsw apple schools the marketing experts  cnet blogs link austin atx retail,Apple,Positive emotion
mention apple store downtown austin open til midnight sxsw mention theres still time ,Apple,Positive emotion
mention apple store downtown austin open til midnight sxsw any ipad left in stock,,No emotion toward brand or product
mention  apple store on congress  link sxsw austin,,No emotion toward brand or product
quotthe apple store at the mall on sunday is x as crowded as this this line is fake i just need a fucking donglequot genius let me in sxsw,Apple,Negative emotion
wks only apple store in th austin street is now opened sxsw,,No emotion toward brand or product
a special apple store opening at th and congress for sxsw amp ipad  launch wwwapplecomretailthedomain  apple ipad sxsw fb,,No emotion toward brand or product
makeshift apple store at th and congress youre kidding me amazing sxsw apple,Apple,Positive emotion
temporary apple store at sxsw  huge line link,,No emotion toward brand or product
temporary apple store at sxsw is really coolas is the ipad   apple sxsw fanboy,iPad,Positive emotion
temporary apple store being set up for sxsw shit now the temptation is going to be out of control,Apple,Positive emotion
temporary apple store for sxsw line goes around the block link,,No emotion toward brand or product
temporary apple store opens mention th amp congress tomorrow ipad sxsw,,No emotion toward brand or product
temporary apple store opens at pm at th and congress line already growing ipad  viewio link via mention sxsw,Apple,Positive emotion
temporary apple store will be a block from my office cant wait to see the line tomorrow photos to come sxsw ipad,Apple,Positive emotion
the sxsw apple store opens at noon each day and closes when they run out of ipads why didnt i buy stock  years ago,,No emotion toward brand or product
base camp apple  sxsw link,,No emotion toward brand or product
ipad news apps so last year at sxsw link,iPad or iPhone App,Negative emotion
 iphone apps youll probably need and use during sxsw link,iPad or iPhone App,Positive emotion
now there are  million mobile google maps users mention sxsw,Other Google product or service,Positive emotion
the lines are already forming at apples popup store in austin arent these people here to see the festival link sxsw,,No emotion toward brand or product
and a few are android too rt mention  new mobile apps ill be using atsxsw  link,Android App,Positive emotion
sxsw you are attending sxsw report what you see with your android phone get bannka app,,No emotion toward brand or product
ipad apps are just like software development in that once you release it you have to start working on the update sxsw,iPad or iPhone App,Positive emotion
